1,速水 治夫/五百蔵 重典/古井 陽之助/服部 哲,グループウェア - Web時代の協調作業支援システム,森北出版,4627847416
2,David M.Bourg,ゲーム開発のための物理シミュレーション入門－Physics for Game Developers,オーム社,427406526X
3,ヘンリー スウィーザル,The Java 3D API仕様 (JAVAシリーズ),アスキー,4756130178
4,石井 裕,CSCWとグループウェア－協創メディアとしてのコンピュータ (ヒューマンコミュニケーション工学シリーズ),オーム社,427407787X
5,ドナルド・A. ノーマン,インビジブルコンピュータ－PCから情報アプライアンスへ,新曜社,4788511711
6,シェリー パワーズ,初めてのJavaScript,オライリージャパン,4873113229
7,宮本 信二,Eclipse 3.4完全攻略,ソフトバンククリエイティブ,4797350490
8,竹添 直樹,Eclipse 3.4 プラグイン開発 徹底攻略 Eclipse 3.4 Ganymede対応,毎日コミュニケーションズ,4839929726
9,(株)アンク,Javaの絵本 増補改訂版,翔泳社,4798108375
10,江渡 浩一郎,パターン、Wiki、XP ～時を超えた創造の原則 (WEB+DB PRESS plusシリーズ),技術評論社,4774138975
11,結城浩,新版C言語プログラミングレッスン 文法編,ソフトバンク クリエイティブ,479733679X
12,結城 浩,増補改訂版Java言語で学ぶデザインパターン入門,ソフトバンククリエイティブ,4797327030
13,竹下 隆史,マスタリングTCP/IP 入門編 第4版,オーム社,4274066770
14,折中 良樹,実践マスター Mac OS X Version10.5 Leopard,ソーテック社,4881666258
15,Joshua Bloch,Effective Java プログラミング言語ガイド,ピアソン・エデュケーション,4894714361
16,アラン・シャロウェイ,デザインパターンとともに学ぶオブジェクト指向のこころ (Software patterns series),ピアソン・エデュケーション,4894716844
17,蒲地 輝尚,はじめて読む486－32ビットコンピュータをやさしく語る,アスキー,4756102131
18,藤倉 俊幸,リアルタイム/マルチタスクシステムの徹底研究－組み込みシステムの基本とタスクスケジューリング技術の基礎 (TECHI),CQ出版,4789833267
19,川合 秀実,30日でできる! OS自作入門,毎日コミュニケーションズ,4839919844
20,ロバート・C・マーチン,アジャイルソフトウェア開発の奥義,ソフトバンククリエイティブ,4797323361
21,アンドリュー・S・タネンバウム,分散システム 原理とパラダイム 第2版,ピアソンエデュケーション,4894714981
22,エリック ガンマ,オブジェクト指向における再利用のためのデザインパターン,ソフトバンククリエイティブ,4797311126
23,結城 浩,増補改訂版 Java言語で学ぶデザインパターン入門 マルチスレッド編,ソフトバンククリエイティブ,4797331623
24,Tucker,憂鬱なプログラマのためのオブジェクト指向開発講座－C++による実践的ソフトウェア構築入門 (DDJ Selection),翔泳社,4881356194
25,宮野 公樹,学生・研究者のための 使える!PowerPointスライドデザイン 伝わるプレゼン1つの原理と3つの技術,化学同人,4759811753
26,坂井 弘亮,C言語によるオブジェクト指向プログラミング入門,翔泳社,4798121134
27,Garr Reynolds,プレゼンテーション Zen,ピアソンエデュケーション,4894713284
28,板谷 康夫,企業人と理工系学生のための知的財産権概論－特許から著作権まで,日刊工業新聞社,4526058866
29,石田 綾,スモールコンパイラ の制作で学ぶ プログラムのしくみ,技術評論社,4774121770
30,石川 竜也,プログラミングのスパイス (C magazine),ソフトバンククリエイティブ,4797330252
31,北山 洋幸,.NETフレームワークのためのC#システムプログラミング－Visual Studio2008対応,カットシステム,4877831924
32,松浦 健一郎,Windows Vistaガジェットプログラミング,秀和システム,4798016586
